ID	age	sex	culture	age_m	longitudinal	adult	condition	conc	concern.exp	pat	hug	kiss	object	verbal	comf	cue2	hypoth	conc9prop
UK19	9	M	UK	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UK19	9	M	UK	9	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UK21	9	M	UK	8	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UK21	9	M	UK	8	N	Mother	experimental	Y	0.145635033	N	N	N	N	N	N	NA	N	NA
UK22	9	F	UK	8	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UK22	9	F	UK	8	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UK23	9	F	UK	8	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UK23	9	F	UK	8	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UK24	9	M	UK	8	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UK24	9	M	UK	8	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UK25	9	M	UK	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UK25	9	M	UK	9	N	Mother	experimental	Y	0.095662426	N	N	N	N	N	N	NA	N	NA
UK26	9	M	UK	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UK26	9	M	UK	9	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UK27	9	M	UK	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UK27	9	M	UK	9	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UK28	9	M	UK	8	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UK28	9	M	UK	8	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UK29	9	F	UK	8	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UK29	9	F	UK	8	N	Mother	experimental	Y	0.043239083	N	N	N	N	N	N	NA	N	NA
UK30	9	M	UK	9	NA	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UK30	9	M	UK	9	NA	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UK31	9	F	UK	8	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
